Partei	Stimmen
Grüne	1623107
CDU	1447462
AfD	809564
SPD	679727
FDP	445498
Linke	156140
Piraten	21775
PARTEI	17048
FW	4647
DKP	144
Basis	0
DiB	0
EfA	0
Human	0
Klima	0
Gesund	0
ÖDP	38517
MW	877
BC	602
W2020	0
Volt	0
